status file for recon-all
Thu Oct  5 12:15:30 UTC 2023
#@# MotionCor Thu Oct  5 12:15:37 UTC 2023
#@# Talairach Thu Oct  5 12:15:53 UTC 2023
#@# Talairach Failure Detection Thu Oct  5 12:25:25 UTC 2023
#@# Talairach Thu Oct  5 12:25:25 UTC 2023
#@# Talairach Failure Detection Thu Oct  5 12:34:27 UTC 2023
#@# Nu Intensity Correction Thu Oct  5 12:34:27 UTC 2023
#@# Intensity Normalization Thu Oct  5 12:44:05 UTC 2023
#@# Skull Stripping Thu Oct  5 12:50:46 UTC 2023
recon-all -s sub-04_ses-001 finished without error at Thu Oct  5 12:56:50 UTC 2023
