status file for recon-all
Thu Oct  5 11:51:49 UTC 2023
#@# MotionCor Thu Oct  5 11:51:55 UTC 2023
#@# Talairach Thu Oct  5 11:52:08 UTC 2023
#@# Talairach Failure Detection Thu Oct  5 12:01:27 UTC 2023
#@# Talairach Thu Oct  5 12:01:27 UTC 2023
#@# Talairach Failure Detection Thu Oct  5 12:10:27 UTC 2023
#@# Nu Intensity Correction Thu Oct  5 12:10:27 UTC 2023
#@# Intensity Normalization Thu Oct  5 12:19:55 UTC 2023
#@# Skull Stripping Thu Oct  5 12:27:45 UTC 2023
recon-all -s sub-02_ses-012 finished without error at Thu Oct  5 12:32:39 UTC 2023
